manufacturer,model,serial number
American Diagnostic,CE 1434,22192114
American Diagnostic,CE 1434,22192189
American Diagnostic,CE 1434,C241870143
American Diagnostic,CE 1434,C241870093
American Diagnostic,CE 1434,C241843867
American Diagnostic,CE 1434,C241843922
American Diagnostic,CE 1434,C241843881
American Diagnostic,CE 1434,C241843806
BIOSONIC,UC95,130402317
BIOSONIC,UC95D15,131100008
BIOSONIC,UC95D15,131100002
Cogentix Medical,CST-4000,CS1704F
Cogentix Medical,CST-4000,CS1705F
Cogentix Medical,CST-5000,CS0709N
Cogentix Medical,CST-5000,CS0715N
Covidien,RAPIDVAC,VL012301X
Covidien,RAPIDVAC,VL012165X
Covidien,RAPIDVAC,VL012164X
Edan Instruments,F9EXPRESS,560039-M11330014
Edan Instruments,F9EXPRESS,560039-M21C11330002
Edan Instruments,F9EXPRESS,560039-M23909480002
Edan Instruments,F9EXPRESS,M19804740024
Edan Instruments,F9EXPRESS,M19804740020
Edan Instruments,F9EXPRESS,M19804740011
Edan Instruments,F9EXPRESS,M19804740025
Edan Instruments,F9EXPRESS,M19804740005
Edan Instruments,F9EXPRESS,M19804740015
Edan Instruments,F9EXPRESS,M19804740016
Edan Instruments,F9EXPRESS,M1980570002
Edan Instruments,F9EXPRESS,M19804740001
Edan Instruments,F9EXPRESS,M19804740013
Edan Instruments,F9EXPRESS,M19804740022
Edan Instruments,IM3,261436-M21508650086
Edan Instruments,IM3,261436-M21508650088
Edan Instruments,IM3,261436-M21508650067
Edan Instruments,IM3,262654-M24705640065
Edan Instruments,IM3,262654-M24903790011
Edan Instruments,IM3,262654-M24903790001
Edan Instruments,IM3,262096-M20706520060
Edan Instruments,IM3,261436-M20903720061
Edan Instruments,IM3,261436-M20903720005
Edan Instruments,SE1200EXPRESS,M23116470007
Edan Instruments,SE1200EXPRESS,460016-M23116470013
Edan Instruments,SE1200EXPRESS,460016-M12900650018
Edan Instruments,SE1200EXPRESS,460016-M23801490029
Edan Instruments,SE1200EXPRESS,460016-M23801490022
Edan Instruments,SE1200EXPRESS,460016-M23801490034
Edan Instruments,SE1200EXPRESS,460016-M23801490035
Edan Instruments,SE1200EXPRESS,(21)460016-M18706470008
Edan Instruments,SE1200EXPRESS,460016-K24700210010
Edan Instruments,SE1200EXPRESS,460016-M246096330015
Edan Instruments,SE1200EXPRESS,311094-M16611040004
Edan Instruments,SE1200EXPRESS,M14B08690005
Edan Instruments,SE1200EXPRESS,M24A2930014
Edan Instruments,SE1200EXPRESS,M24A02930002
Edan Instruments,SE1200EXPRESS,M24A02930001
Edan Instruments,ELITEV5,M19805320027
Edan Instruments,ELITEV5,M19701080008
Edan Instruments,ELITEV5,M17902120005
Edan Instruments,ELITEV5,M17902120008
Edan Instruments,ELITEV5,M19701080003
Edan Instruments,ELITEV5,M17902120007
Edan Instruments,ELITEV5,M19701080007
Edan Instruments,ELITEV5,M19507110013
Edan Instruments,ELITEV5,M19507110011
Edan Instruments,ELITEV5,M19701080019
Edan Instruments,ELITEV5,M19805320022
Edan Instruments,ELITEV5,M19702060009
Edan Instruments,ELITEV5,M19805320040
Edan Instruments,ELITEV5,M19805320023
Edan Instruments,ELITEV5,M19805320016
Edan Instruments,ELITEV5,M19805320048
Edan Instruments,ELITEV5,M19805320020
Edan Instruments,ELITEV5,M19805320038
Edan Instruments,ELITEV5,M19805320045
Edan Instruments,ELITEV5,M19805320009
Edan Instruments,ELITEV5,M19805320026
Edan Instruments,IM50,M14104900003
Edan Instruments,IM50,3331333-M14900008
Edan Instruments,IM50,3331333-M14104900002
Edan Instruments,IM50,3331333-M14104900009
Edan Instruments,IM50,M17602270005
Edan Instruments,IM50,M17602270003
Edan Instruments,IM50,M19110560012
Edan Instruments,IM50,M19100850023
Edan Instruments,IM50,M19100850015
Edan Instruments,IM50,M19100850029
Edan Instruments,IM50,M19100850033
Edan Instruments,IM50,M17101610022
Edan Instruments,IM50,M17101610039
Edan Instruments,IM50,M16701760030
Edan Instruments,IM50,M17101610030
Edan Instruments,IM50,M16701760034
Edan Instruments,IM50,M16701760010
Edan Instruments,IM50,M19100850017
Edan Instruments,IM50,M17A03210041
Edan Instruments,IM50,M19100580024
Edan Instruments,IM50,M18709800015
Edan Instruments,IM50,M19100850001
Edan Instruments,IM70,260066-M20320530023
Edan Instruments,IM70,260066-M20320530024
Edan Instruments,IM70,260066-M20320530007
Edan Instruments,IM70,260066-M20320530030
Edan Instruments,IM70,260066-M16901980001
Edan Instruments,IM70,M16603730016
Edan Instruments,IM70,M18414780039
Edan Instruments,IM70,M18414780018
Edan Instruments,IM70,M19805530018
Edan Instruments,IM70,M19805530004
Edan Instruments,IM70,M19805530017
Edan Instruments,IM70,M19805530014
Edan Instruments,IM70,M19805530019
Edan Instruments,IM70,M19805530008
Edan Instruments,IM70,M18414780026
Edan Instruments,IM70,M19805530010
Edan Instruments,IM70,M18414780044
Edan Instruments,IM70,M19805530016
Edan Instruments,IM70,M18414780027
Edan Instruments,IM70,M19805530003
Edan Instruments,IM70,M19805530011
Edan Instruments,IM70,M19805530006
Edan Instruments,IM70,M19805530005
Edan Instruments,IM70,M19805530007
Edan Instruments,IM70,M18414780031
Edan Instruments,IM70,M19805530001
Edan Instruments,IM70,M18414780047
Edan Instruments,IM70,M18414780019
Edan Instruments,IM70,M19805530013
Edan Instruments,IM70,M19805530002
Edan Instruments,IM70,M16600900014
Edan Instruments,iT20,M21203860030
Edan Instruments,iT20,M19413150003
Edan Instruments,iT20,M19413130058
Edan Instruments,iT20,M19413150044
Edan Instruments,iT20,M21203860028
Edan Instruments,iT20,M24402010037
Edan Instruments,iT20,M24402010035
Edan Instruments,iT20,M24402010034
Edan Instruments,iT20,M24408380006
Edan Instruments,iT20,M24408380010
Edan Instruments,iT20,M24408380009
Edan Instruments,iT20,M24408380008
Edan Instruments,iT20,M24408380007
Edan Instruments,iT20,M24408380001
Edan Instruments,iT20,M24408380003
Edan Instruments,iT20,M24408380004
Edan Instruments,iT20,M22411170006
Edan Instruments,iT20,M22411170008
Edan Instruments,iT20,M19413150007
Edan Instruments,iT20,M24A15750012
Edan Instruments,iT20,M24A15750016
Edan Instruments,iT20,M2415750004
Edan Instruments,iT20,M24A15750002
Edan Instruments,iT20,M24A15750003
Edan Instruments,iT20,M24A15750001
Edan Instruments,iT20,M24A15750018
Edan Instruments,iT20,M24A15750019
Edan Instruments,iT20,M24A15750011
Edan Instruments,iT20,M24A15750010
Edan Instruments,iT20,M24A15750009
Edan Instruments,iT20,M19413130016
Edan Instruments,iT20,M19413130058
Edan Instruments,iT20,M2012320037
Edan Instruments,iT20,M19413130060
Edan Instruments,iT20,M19413130011
Edan Instruments,iT20,M19413130027
Edan Instruments,iT20,M19413130015
Edan Instruments,iT20,M20403290003
Edan Instruments,iT20,M19706920013
Edan Instruments,iT20,M19413130013
Edan Instruments,iT20,M18909080003
Edan Instruments,iT20,M23910480001
Edan Instruments,iT20,M20403290001
Edan Instruments,iT20,M24408380002
Edan Instruments,iT20,M24408380005
Edan Instruments,iT20,M19413130052
Exergen,TAT5000,A1539272
Exergen,TAT5000,A1539493
Exergen,TAT5000,A1539059
Exergen,TAT5000,A1539490
Exergen,TAT5000,A1539270
Exergen,TAT5000,A1539277
Hillrom,CENTURY,02R2981999
Hillrom,CENTURYP1400,10L9791999
Hillrom,CENTURYP1400,10L7601999
Hillrom,CENTURYP1400,10L2981999
Hillrom,CENTURYP1400,10L2591999
Hillrom,CENTURY,12M1281998
Hillrom,CENTURY,02R3141999
Hillrom,CENTURYP1400,10L7571999
Hillrom,CENTURY,12M0591998
Hillrom,CENTURYP1400,10L7531999
Hillrom,PCENTURYK3256,12M0551998
Hillrom,PCENTURYK3256,02R3391999
Hillrom,CENTURY,02R3241999
Hillrom,CENTURY,12M0561998
Hillrom,CENTURYP1400,10L7541999
Hillrom,CENTURY,02R3631999
Hillrom,CENTURY,12M1101998
Hillrom,CENTURY,10L9201999
Hillrom,P3200,M154AD1453
Hillrom,P3200,M140AD0664
Hillrom,P3200,J140AD7241
Hillrom,P3200,J309AD1600
Hillrom,P3200,J140AD7236
Hillrom,P3200,J140AD7193
Hillrom,P3200,J134AT6928
Hillrom,P3200,J127AD6526
Hospira,PLUMA+,17432148
Hospira,PLUMA+,17434560
Hospira,PLUMA+,17441256
Hospira,PLUMA+,17434159
Hospira,PLUMA+,17433989
Hospira,PLUMA+,17434093
Hospira,PLUMA+,17434354
Hospira,PLUMA+,17441237
Hospira,PLUMA+,17434074
Hospira,PLUMA+,17434027
Hospira,PLUMA+,17441209
Hospira,PLUMA+,17434472
Hospira,PLUMA+,17434162
Hospira,PLUMA+,17434475
Hospira,PLUMA+,17434779
Hospira,PLUMA+,17434141
Hospira,PLUMA+,17434321
Hospira,PLUMA+,17434383
Hospira,PLUMA+,1744041
Hospira,PLUMA+,17434024
Hospira,PLUMA+,17434118
Hospira,PLUMA+,17440578
Hospira,PLUMA+,17440768
Hospira,PLUMA+,17434139
Hospira,PLUMA+,17433973
Hospira,PLUMA+,17434426
Hospira,PLUMA+,17434019
Hospira,PLUMA+,17433363
Hospira,PLUMA+,17434142
Hospira,PLUMA+,17434703
Hospira,PLUMA+,17434212
Hospira,PLUMA+,17434094
Hospira,PLUMA+,17433443
Hospira,PLUMA+,17434341
Hospira,PLUMA+,17441087
Hospira,PLUMA+,17440640
Hospira,PLUMA+,17434396
Hospira,PLUMA+,17434332
Hospira,PLUMA+,17434726
Hospira,PLUMA+,17434435
Hospira,PLUMA+,17434513
Hospira,PLUMA+,17434161
Hospira,PLUMA+,17434177
Hospira,PLUMA+,17434000
Hospira,PLUMA+,17431765
Hospira,PLUMA+,17434512
Hospira,PLUMA+,17433246
Hospira,PLUMA+,17434039
Hospira,PLUMA+,17432437
Hospira,PLUMA+,17434735
Hospira,PLUMA+,17434064
Hospira,PLUMA+,17441258
Hospira,PLUMA+,17441252
Hospira,PLUMA+,17441249
Hospira,PLUMA+,17441084
Hospira,PLUMA+,17480601
Hospira,PLUMA+,17434454
Hospira,PLUMA+,17451880
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU20240630EN
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406267EN
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406209EN
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406190EN
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406189EN
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202108144EN
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202108189EN
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202108193EN
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406183EN
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202108205EN
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406249EN
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406266EN
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406252EN
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406237EN
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406187EN
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202406188EN
Jiangmen Dacheng Medical Equipment Co.,IOB-507,WU202108208EN
LAB CORP.,642E,241013LB348
LAB CORP.,642E,241013LB328
LINET,ELEGANZA 3,20210147025
LINET,ELEGANZA 3,20200275616
LINET,ELEGANZA 3,20210147077
LINET,ELEGANZA 3,20210149187
LINET,ELEGANZA 3,20210101683
LINET,ELEGANZA 3,20210101685
LINET,ELEGANZA 3,20210147060
LINET,ELEGANZA 3,20210147032
LINET,ELEGANZA 4,20240217185
LINET,ELEGANZA 4,20240217163
LINET,ELEGANZA 4,20240217171
LINET,ELEGANZA 4,20240217177
LINET,ELEGANZA 4,20240219124
LINET,ELEGANZA 4,20240211343
LINET,ELEGANZA 4,20240211435
LINET,ELEGANZA 4,20240315321
Masimo,RAD8,M192824
Masimo,RAD8,M192444
Masimo,RAD8,M192465
Masimo,RAD8,M192344
Mindray,BENEVISION N15,FS-28042613
Mindray,BENEVISION N15,FS-28042614
Mindray,BENEVISION N15,FS-28042615
Mindray,BENEVISION N15,F5-28042623
Mindray,BENEVISION N15,FS-28042602
Mindray,BENEVISION N15,FS-28042236
Mindray,BENEVISION N15,F5-11025372
Mindray,EPM12MA,AH9-3C001824
Mindray,EPM12MA,AH9-3C001806
Mindray,EPM12MA,AH9-3A001717
Mindray,EPM12MA,AH9-3A001716
Mindray,EPM12MA,AH9-3A001721
Mindray,EPM12MA,AH9-3C001812
Mindray,EPM12MA,AH9-3A001718
Mindray,EPM12MA,AH9-3C001805
Mindray,EPM12MA,AH9-34001722
Mindray,EPM12MA,AH9-3C001789
Mindray,EPM12MA,AH9-3C001781
Mindray,EPM12MA,AH9-3C001814
Mindray,EPM12MA,AH9-3C001780
Mindray,EPM12MA,AH9-27000897
Mindray,EPM12MA,AH9-26000857
Mindray,EPM12MA,AH9-26000861
Mindray,EPM12MA,AH9-26000860
Mindray,EPM12MA,AH9-26000859
Olympus,CV190,7500545
Olympus,CV190,7500311
Olympus,CV190,7500445
Olympus,CV190,75500364
Olympus,CV190,7500389
Olympus,CV190,7500566
Philips,INTELLIVUE MP20,DE72870252
Philips,INTELLIVUE MP20,DE62229313
Philips,INTELLIVUE MP20,DE54011343
Philips,INTELLIVUE MP20,DE72832824
Philips,INTELLIVUE MP20,DE72870263
Philips,INTELLIVUE MP20,DE72856013
Philips,INTELLIVUE MP20,DE54011333
Philips,INTELLIVUE MP20,DE54011319
