manufacturer,model,serial_number,manufactured_date,device_type,confidence
Hillrom,CENTURY,12M1281998,1998-01-01,Hospital Electric Bed,100%
Hillrom,CENTURY,12M0591998,1998-01-01,Hospital Electric Bed,100%
Hillrom,PCENTURYK3256,12M0551998,1998-01-01,Hospital Electric Bed,100%
Hillrom,CENTURY,12M0561998,1998-01-01,Hospital Electric Bed,100%
Hillrom,CENTURY,12M1101998,1998-01-01,Hospital Electric Bed,100%
Hillrom,CENTURY,02R2981999,1999-01-01,Hospital Electric Bed,100%
Hillrom,CENTURYP1400,10L9791999,1999-01-01,Hospital Electric Bed,100%
Hillrom,CENTURYP1400,10L7601999,1999-01-01,Hospital Electric Bed,100%
Hillrom,CENTURYP1400,10L2981999,1999-01-01,Hospital Electric Bed,100%
Hillrom,CENTURYP1400,10L2591999,1999-01-01,Hospital Electric Bed,100%
Hillrom,CENTURY,02R3141999,1999-01-01,Hospital Electric Bed,100%
Hillrom,CENTURYP1400,10L7571999,1999-01-01,Hospital Electric Bed,100%
Hillrom,CENTURYP1400,10L7531999,1999-01-01,Hospital Electric Bed,100%
Hillrom,PCENTURYK3256,02R3391999,1999-01-01,Hospital Electric Bed,100%
Hillrom,CENTURY,02R3241999,1999-01-01,Hospital Electric Bed,100%
Hillrom,CENTURYP1400,10L7541999,1999-01-01,Hospital Electric Bed,100%
Hillrom,CENTURY,02R3631999,1999-01-01,Hospital Electric Bed,100%
Hillrom,CENTURY,10L9201999,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,L070HE0786,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,103AG0982,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,G192AG4641,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,L070HE0791,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,1039AG1009,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,L230HE3537,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,B334AG6731,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,B333AG6698,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,B333AG6701,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,B333AG6703,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,B334AG6725,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,B334AG6738,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,B334AG6737,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,B332AG6683,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,B334AG6727,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,B334AG6740,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,B333AG6695,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,B334AG6735,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,B333AG6797,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,B332AG6681,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,B333AG6699,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,B333AG6700,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,B333AG6706,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,B333AG6708,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,N177ME1533,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,B332AG6677,1999-01-01,Hospital Electric Bed,100%
HILL ROM,CENTURYP1400,N177ME1539,1999-01-01,Hospital Electric Bed,100%
ZOLL Medical,M SERIES,T03D45722,2003-04-01,Defibrillator / Monitor,100%
ZOLL Medical,M SERIES,T03G48599,2003-07-01,Defibrillator / Monitor,100%
ZOLL Medical,M SERIES,T04A54870,2004-01-01,Defibrillator / Monitor,100%
ZOLL Medical,M SERIES,T04D57875,2004-04-01,Defibrillator / Monitor,100%
ZOLL Medical,M SERIES,T04F60157,2004-06-01,Defibrillator / Monitor,100%
ZOLL Medical,M SERIES,T04G0718,2004-07-01,Defibrillator / Monitor,100%
ZOLL Medical,M SERIES,T04H61597,2004-08-01,Defibrillator / Monitor,100%
ZOLL Medical,M SERIES,T0787302,2007-01-01,Defibrillator / Monitor,100%
Cogentix Medical,CST-5000,CS0709N,2007-09-01,Endoscopic Cystoscope,100%
Cogentix Medical,CST-5000,CS0715N,2007-12-01,Endoscopic Cystoscope,100%
ZOLL Medical,M SERIES,T08103497,2008-01-01,Defibrillator / Monitor,100%
ZOLL Medical,M SERIES,T098109977,2009-01-01,Defibrillator / Monitor,100%
ZOLL Medical,M SERIES,T09B109955,2009-02-01,Defibrillator / Monitor,100%
ZOLL Medical,M SERIES,T09B109792,2009-02-01,Defibrillator / Monitor,100%
ZOLL Medical,M SERIES,T09K116484,2009-11-01,Defibrillator / Monitor,100%
Welch Allyn,FILAC3000,A1051223,2010-01-01,Clinical Thermometer,100%
ZOLL Medical,M SERIES,T10G121505,2010-07-01,Defibrillator / Monitor,100%
ZOLL Medical,Propaq Md,AI10L000824,2010-12-01,Defibrillator / Monitor,100%
ZOLL Medical,Propaq Md,AI10L000796,2010-12-01,Defibrillator / Monitor,100%
ZOLL Medical,Propaq Md,AI10L000816,2010-12-01,Defibrillator / Monitor,100%
ZOLL Medical,Propaq Md,AI10L000819,2010-12-01,Defibrillator / Monitor,100%
Edan Instruments,F9EXPRESS,560039-M11330014,2011-01-01,Fetal Monitor,100%
Welch Allyn,FILAC3000,A1155231X,2011-01-01,Clinical Thermometer,100%
Welch Allyn,FILAC3000,A1156405,2011-01-01,Clinical Thermometer,100%
Welch Allyn,FILAC3000,A1156388,2011-01-01,Clinical Thermometer,100%
ZOLL Medical,M SERIES,T11D124677,2011-04-01,Defibrillator / Monitor,100%
ZOLL Medical,Propaq Md,AI11F001156,2011-06-01,Defibrillator / Monitor,100%
ZOLL Medical,R Series Plus,AF11L019703,2011-12-01,Defibrillator / Monitor,100%
Edan Instruments,SE1200EXPRESS,460016-M12900650018,2012-01-01,ECG Machine,100%
Welch Allyn,FILAC3000,A1257682,2012-01-01,Clinical Thermometer,100%
Welch Allyn,FILAC3000,A1262471,2012-01-01,Clinical Thermometer,100%
ZOLL Medical,M SERIES,T12B127729,2012-02-01,Defibrillator / Monitor,100%
ZOLL Medical,M SERIES,T12B127735,2012-02-01,Defibrillator / Monitor,100%
ZOLL Medical,M SERIES,T12L131022,2012-12-01,Defibrillator / Monitor,100%
BIOSONIC,UC95,130402317,2013-04-01,Ultrasonic Cleaner,100%
ZOLL Medical,M SERIES,T13D131863,2013-04-01,Defibrillator / Monitor,100%
ZOLL Medical,M SERIES,T13D131879,2013-04-01,Defibrillator / Monitor,100%
BIOSONIC,UC95D15,131100008,2013-11-01,Ultrasonic Cleaner,100%
BIOSONIC,UC95D15,131100002,2013-11-01,Ultrasonic Cleaner,100%
ZOLL Medical,X Series,AR13L006530,2013-12-01,Defibrillator / Monitor,100%
Edan Instruments,SE1200EXPRESS,M14B08690005,2014-01-01,ECG Machine,100%
Edan Instruments,IM50,M14104900003,2014-01-01,Patient Monitor,100%
Edan Instruments,IM50,3331333-M14900008,2014-01-01,Patient Monitor,100%
Edan Instruments,IM50,3331333-M14104900002,2014-01-01,Patient Monitor,100%
Edan Instruments,IM50,3331333-M14104900009,2014-01-01,Patient Monitor,100%
Welch Allyn,FILAC3000,A1451284X,2014-01-01,Clinical Thermometer,100%
ZOLL Medical,M SERIES,T14E133852,2014-05-01,Defibrillator / Monitor,100%
ZOLL Medical,M SERIES,T14F133985,2014-06-01,Defibrillator / Monitor,100%
Unico,G380PL LED,G38L-20141208,2014-12-08,Laboratory Microscope,100%
Exergen,TAT5000,A1539272,2015-01-01,Clinical Thermometer,100%
Exergen,TAT5000,A1539493,2015-01-01,Clinical Thermometer,100%
Exergen,TAT5000,A1539059,2015-01-01,Clinical Thermometer,100%
Exergen,TAT5000,A1539490,2015-01-01,Clinical Thermometer,100%
Exergen,TAT5000,A1539270,2015-01-01,Clinical Thermometer,100%
Exergen,TAT5000,A1539277,2015-01-01,Clinical Thermometer,100%
GE HEALTHCARE,APEX PRO CH,RTS14024388GA,2015-01-01,Telemetry Transmitter,75%
GE HEALTHCARE,APEX PRO CH,RTS14104454GA,2015-01-01,Telemetry Transmitter,75%
GE HEALTHCARE,APEX PRO CH,RTS14104453GA,2015-01-01,Telemetry Transmitter,75%
GE HEALTHCARE,APEX PRO CH,RTS14104456GA,2015-01-01,Telemetry Transmitter,75%
GE HEALTHCARE,APEX PRO CH,RT908362478GA,2015-01-01,Telemetry Transmitter,75%
GE HEALTHCARE,APEX PRO CH,RTS14104450GA,2015-01-01,Telemetry Transmitter,80%
GE HEALTHCARE,APEX PRO CH,RT914166339GA,2015-01-01,Telemetry Transmitter,80%
GE HEALTHCARE,APEX PRO CH,RT914166315GA,2015-01-01,Telemetry Transmitter,80%
GE HEALTHCARE,APEX PRO CH,RT914166362GA,2015-01-01,Telemetry Transmitter,80%
GE HEALTHCARE,APEX PRO CH,RT914166321GA,2015-01-01,Telemetry Transmitter,80%
GE HEALTHCARE,APEX PRO CH,RT916162191SA,2015-01-01,Telemetry Transmitter,80%
GE HEALTHCARE,APEX PRO CH,RT914166380GA,2015-01-01,Telemetry Transmitter,80%
GE HEALTHCARE,APEX PRO CH,RT914166373GA,2015-01-01,Telemetry Transmitter,80%
GE HEALTHCARE,APEX PRO CH,RT914166320GA,2015-01-01,Telemetry Transmitter,80%
GE HEALTHCARE,APEX PRO CH,RT914166336GA,2015-01-01,Telemetry Transmitter,80%
GE HEALTHCARE,APEX PRO CH,RT914166372GA,2015-01-01,Telemetry Transmitter,75%
GE HEALTHCARE,APEX PRO CH,RT914126176GA,2015-01-01,Telemetry Transmitter,75%
GE HEALTHCARE,APEX PRO CH,RT914166337GA,2015-01-01,Telemetry Transmitter,75%
GE HEALTHCARE,APEX PRO CH,RT914126178GA,2015-01-01,Telemetry Transmitter,75%
